schema_name,document_type,schema_strata_name,base_path
licence,licence,answer_et_al,/live-fish-import-notification-within-eu
answer,answer,answer_et_al,/research-export-markets
answer,answer,answer_et_al,/pay-court-fine-online
answer,answer,answer_et_al,/nystagmus-and-driving
answer,answer,answer_et_al,/change-or-update-your-patent
licence,licence,answer_et_al,/domiciliary-care-service-registration-ni
answer,answer,answer_et_al,/check-additional-income-tax
answer,answer,answer_et_al,/claim-for-damage-to-your-vehicle
answer,answer,answer_et_al,/find-lost-utr-number
licence,licence,answer_et_al,/occasional-permit-firearms-and-ammunition-northern-ireland
licence,licence,answer_et_al,/mixing-ammonium-nitrate-with-fuel-oil-licence
answer,answer,answer_et_al,/renew-patent-trademark-registered-design
answer,answer,answer_et_al,/checks-when-buying-a-used-car
answer,answer,answer_et_al,/entering-court-or-tribunal-building
answer,answer,answer_et_al,/offering-credit-consumers-law
licence,licence,answer_et_al,/pcb-holding-registration-scotland
answer,answer,answer_et_al,/pay-a-penalty-for-filing-company-accounts-late
answer,answer,answer_et_al,/continuous-employment-what-it-is
answer,answer,answer_et_al,/passport-application-while-visiting-uk
answer,answer,answer_et_al,/caring-for-pets
transaction,transaction,answer_et_al,/book-theory-test
licence,licence,answer_et_al,/registration-of-aquaculture-businesses-scotland
answer,answer,answer_et_al,/drinking-banning-order
licence,licence,answer_et_al,/licence-to-photograph-wildlife-northern-ireland
case_study,case_study,case_study,/government/case-studies/fast-forward-competition-2014-technology-accelerator-chiasma
case_study,case_study,case_study,/government/case-studies/little-fish-theatre
case_study,case_study,case_study,/government/case-studies/ww1-canadian-vc-recipient-henry-mareus-harcus-strachan
case_study,case_study,case_study,/government/case-studies/fair-exchange
case_study,case_study,case_study,/government/case-studies/genomics-plc-analytics-driving-a-revolution-in-healthcare
case_study,case_study,case_study,/government/case-studies/fast-forward-competition-2014-philanthropic-crowdfunding-of-ip-through-the-valley-of-death
case_study,case_study,case_study,/government/case-studies/smartsurvey-working-with-department-for-education
case_study,case_study,case_study,/government/case-studies/working-well-an-approach-to-work-and-health
case_study,case_study,case_study,/government/case-studies/dfid-research-scuba-rice-breeding-flood-tolerance-into-asias-local-mega-rice-varieties
case_study,case_study,case_study,/government/case-studies/intellectual-property-chillipeeps
